Date,Open,High,Low,Close
2013-04-01,15.782143,15.846429,15.276429,15.318214
2013-04-02,15.271429,15.647857,15.228571,15.349643
2013-04-03,15.406071,15.617143,15.368214,15.428214
2013-04-04,15.491429,15.535714,15.1875,15.275714
2013-04-05,15.160714,15.176786,14.988571,15.114286
2013-04-08,15.173214,15.267857,15.088929,15.221786
2013-04-09,15.227143,15.303571,15.098214,15.249286
2013-04-10,15.289286,15.609286,15.214643,15.560357
2013-04-11,15.49,15.6425,15.4,15.511786
2013-04-12,15.505357,15.505357,15.324643,15.35
2013-04-15,15.25,15.281786,14.983929,14.994643
2013-04-16,15.056071,15.236071,15.020357,15.222857
2013-04-17,15.009643,15.021429,14.218214,14.385714
2013-04-18,14.463929,14.4925,13.919286,14.001786
2013-04-19,13.856071,14.271429,13.753571,13.9475
2013-04-22,14.022857,14.364286,13.973929,14.238214
2013-04-23,14.428214,14.585,14.243214,14.504643
2013-04-24,14.055,14.830357,14.017857,14.480714
2013-04-25,14.686786,14.783571,14.535714,14.585
2013-04-26,14.636071,14.956071,14.580357,14.9
2013-04-29,15.016071,15.486429,15,15.361429
2013-04-30,15.539286,15.901786,15.431071,15.813571
2013-05-01,15.873571,15.890357,15.513929,15.688929
2013-05-02,15.777857,16.02107,15.736786,15.911429
2013-05-03,16.118214,16.186787,16.041071,16.070715
2013-05-06,16.275356,16.507143,16.225357,16.45393
2013-05-07,16.606071,16.633928,16.203571,16.380714
2013-05-08,16.394285,16.620358,16.278929,16.565714
2013-05-09,16.421785,16.535713,16.270714,16.313213
2013-05-10,16.356071,16.418215,16.088572,16.1775
2013-05-13,16.125357,16.353571,16.125,16.240713
2013-05-14,16.208929,16.257143,15.791071,15.852143
2013-05-15,15.684286,15.75,15.084286,15.316071
2013-05-16,15.115714,15.6375,14.960714,15.520714
2013-05-17,15.680357,15.7175,15.393214,15.473571
2013-05-20,15.425357,15.921429,15.360714,15.818929
2013-05-21,15.648214,15.91,15.507143,15.702143
2013-05-22,15.858929,16.012501,15.650714,15.7625
2013-05-23,15.569643,15.934286,15.563929,15.790714
2013-05-24,15.744643,15.916429,15.727143,15.898214
2013-05-28,16.067858,16.111071,15.744643,15.765714
2013-05-29,15.714286,15.982143,15.692857,15.891071
2013-05-30,15.916071,16.232143,15.875357,16.127857
2013-05-31,16.160713,16.325001,16.053572,16.061787
2013-06-03,16.0975,16.155714,15.802857,16.097143
2013-06-04,16.186428,16.229643,15.978214,16.046785
2013-06-05,15.916071,16.097143,15.846786,15.896786
2013-06-06,15.909643,15.964286,15.501786,15.659286
2013-06-07,15.589286,15.83,15.456071,15.778929
2013-06-10,15.883214,16.03857,15.6,15.674643
2013-06-11,15.562143,15.812857,15.475714,15.628571
2013-06-12,15.696429,15.758929,15.410714,15.435357
2013-06-13,15.446429,15.612143,15.3125,15.57
2013-06-14,15.55,15.581786,15.303571,15.358929
2013-06-17,15.408571,15.560714,15.37,15.428571
2013-06-18,15.412857,15.532143,15.364643,15.420357
2013-06-19,15.407143,15.416429,15.107143,15.107143
2013-06-20,14.975,15.213571,14.8275,14.887143
2013-06-21,14.946071,15,14.575,14.767857
2013-06-24,14.55,14.595,14.216071,14.376429
2013-06-25,14.489286,14.563929,14.243929,14.379643
2013-06-26,14.425,14.456786,14.130714,14.216786
2013-06-27,14.258929,14.335357,14.055,14.063571
2013-06-28,13.977143,14.295357,13.888214,14.161786
2013-07-01,14.381786,14.723929,14.329286,14.615
2013-07-02,14.641429,15.058214,14.623929,14.946071
2013-07-03,15.030714,15.106429,14.908929,15.028571
2013-07-05,15.013929,15.1175,14.833929,14.907857
2013-07-08,15.003929,15.035714,14.666071,14.823214
2013-07-09,14.771429,15.125,14.656429,15.083929
2013-07-10,14.985714,15.171429,14.9375,15.026071
2013-07-11,15.105357,15.294643,15.041786,15.260357
2013-07-12,15.273214,15.349643,15.121786,15.2325
2013-07-15,15.178929,15.409286,15.171429,15.265714
2013-07-16,15.232857,15.3825,15.148929,15.364286
2013-07-17,15.346429,15.436429,15.293571,15.368214
2013-07-18,15.477857,15.531071,15.378929,15.42
2013-07-19,15.467857,15.499286,15.155357,15.176786
2013-07-22,15.337857,15.348214,15.195357,15.225357
2013-07-23,15.214286,15.248571,14.953929,14.963929
2013-07-24,15.676071,15.878214,15.545,15.7325
2013-07-25,15.739286,15.764286,15.564643,15.660714
2013-07-26,15.546429,15.751429,15.512143,15.749643
2013-07-29,15.742857,16.071072,15.721429,15.9925
2013-07-30,16.07,16.326786,16.043928,16.190001
2013-07-31,16.249643,16.33357,16.051071,16.161785
2013-08-01,16.276787,16.314285,16.187857,16.309999
2013-08-02,16.3575,16.530357,16.309286,16.519285
2013-08-05,16.596071,16.809643,16.505358,16.766071
2013-08-06,16.715,16.853214,16.506071,16.616072
2013-08-07,16.564285,16.678572,16.491785,16.606428
2013-08-08,16.566429,16.575001,16.355356,16.464643
2013-08-09,16.379999,16.445,16.201786,16.230356
2013-08-12,16.316429,16.737499,16.308214,16.691429
2013-08-13,16.819286,17.66643,16.71607,17.484644
2013-08-14,17.781429,18.008928,17.621429,17.803572
2013-08-15,17.729286,17.942858,17.467142,17.782499
2013-08-16,17.862499,17.962143,17.816429,17.940357
2013-08-19,18.012142,18.347857,18,18.133572
2013-08-20,18.20393,18.234644,17.886429,17.895357
2013-08-21,17.985357,18.112499,17.9,17.941429
2013-08-22,18.035,18.056786,17.792856,17.962856
2013-08-23,17.973928,17.976786,17.833929,17.893572
2013-08-26,17.883928,18.22143,17.875,17.963215
2013-08-27,17.785713,17.946787,17.367857,17.449642
2013-08-28,17.357143,17.707144,17.357143,17.532143
2013-08-29,17.558929,17.732143,17.540358,17.560715
2013-08-30,17.571428,17.605356,17.375,17.400715
2013-09-03,17.610714,17.878571,17.405357,17.449286
2013-09-04,17.841429,17.937143,17.724285,17.810356
2013-09-05,17.866072,17.88143,17.629999,17.688213
2013-09-06,17.80143,17.834999,17.498215,17.793571
2013-09-09,18.035713,18.139999,17.981428,18.077499
2013-09-10,18.078571,18.123215,17.482143,17.665714
2013-09-11,16.678928,16.9175,16.600357,16.70393
2013-09-12,16.732143,16.978571,16.643213,16.881786
2013-09-13,16.762142,16.85107,16.59643,16.603571
2013-09-16,16.464287,16.486071,15.972143,16.075714
2013-09-17,15.998571,16.418215,15.982143,16.261429
2013-09-18,16.542143,16.655357,16.452143,16.595715
2013-09-19,16.810715,16.993929,16.758928,16.867857
2013-09-20,17.071428,17.09107,16.642857,16.693214
2013-09-23,17.717857,17.746786,17.235714,17.522858
2013-09-24,17.674286,17.695356,17.422144,17.467857
2013-09-25,17.47143,17.487143,17.19393,17.1975
2013-09-26,17.357143,17.44857,17.282143,17.365
2013-09-27,17.277857,17.309643,17.168571,17.241072
2013-09-30,17.044643,17.202143,16.943214,17.026787
2013-10-01,17.0875,17.469286,17.084999,17.427143
2013-10-02,17.343929,17.564285,17.276787,17.484285
2013-10-03,17.518213,17.583929,17.169287,17.264643
2013-10-04,17.280714,17.307142,17.092857,17.251072
2013-10-07,17.377144,17.594643,17.333929,17.419643
2013-10-08,17.497856,17.522858,17.162144,17.17643
2013-10-09,17.308571,17.42107,17.081429,17.378214
2013-10-10,17.547144,17.584999,17.394285,17.487143
2013-10-11,17.3925,17.637142,17.327143,17.600357
2013-10-14,17.493929,17.770714,17.476786,17.715714
2013-10-15,17.768213,17.928572,17.697144,17.809999
2013-10-16,17.885357,17.9475,17.829643,17.896786
2013-10-17,17.856428,18.027857,17.845715,18.017857
2013-10-18,18.071072,18.187857,18.061071,18.174643
2013-10-21,18.2775,18.725,18.268572,18.620001
2013-10-22,18.800358,18.873215,18.143929,18.566786
2013-10-23,18.535713,18.77393,18.535713,18.748571
2013-10-24,18.75,19.016787,18.65893,18.996786
2013-10-25,18.975714,19.043928,18.753929,18.784286
2013-10-28,18.894285,18.964287,18.686071,18.924286
2013-10-29,19.1525,19.258928,18.376429,18.452856
2013-10-30,18.557501,18.84,18.465,18.746429
2013-10-31,18.75,18.838928,18.616785,18.667856
2013-11-01,18.715,18.742857,18.422857,18.5725
2013-11-04,18.610714,18.815001,18.528929,18.8125
2013-11-05,18.735001,18.888929,18.678572,18.766071
2013-11-06,18.719643,18.745001,18.507143,18.604286
2013-11-07,18.556429,18.685356,18.299286,18.303213
2013-11-08,18.377857,18.611786,18.306786,18.591429
2013-11-11,18.571072,18.631071,18.371786,18.5375
2013-11-12,18.488214,18.71143,18.464287,18.571787
2013-11-13,18.5,18.651787,18.462856,18.593929
2013-11-14,18.671785,18.902857,18.638214,18.862858
2013-11-15,18.806429,18.89607,18.731787,18.749643
2013-11-18,18.749643,18.828215,18.507143,18.522499
2013-11-19,18.536785,18.692142,18.498928,18.555357
2013-11-20,18.543928,18.58643,18.368929,18.392857
2013-11-21,18.485714,18.614643,18.345358,18.612143
2013-11-22,18.554285,18.648571,18.518929,18.564285
2013-11-25,18.607857,18.781071,18.607143,18.705
2013-11-26,18.718571,19.147858,18.714287,19.049999
2013-11-27,19.153929,19.5,19.049999,19.498571
2013-11-29,19.624287,19.940357,19.564644,19.859644
2013-12-02,19.928572,20.154642,19.672144,19.686787
2013-12-03,19.939285,20.227858,19.917143,20.225714
2013-12-04,20.196428,20.328215,20.029285,20.178572
2013-12-05,20.451786,20.540714,20.22893,20.282143
2013-12-06,20.206785,20.241072,19.984644,20.000713
2013-12-09,20.032143,20.342142,20.032143,20.229643
2013-12-10,20.127857,20.281429,20.042856,20.198214
2013-12-11,20.25,20.391787,19.98893,20.048571
2013-12-12,20.076429,20.190714,20.001072,20.019285
2013-12-13,20.101786,20.102858,19.77393,19.801071
2013-12-16,19.822144,20.094286,19.821787,19.910713
2013-12-17,19.850357,19.98,19.763571,19.821072
2013-12-18,19.632143,19.694643,19.242857,19.670357
2013-12-19,19.625,19.642857,19.418928,19.445
2013-12-20,19.479643,19.700357,19.457857,19.607857
2013-12-23,20.285713,20.382856,20.098572,20.360357
2013-12-24,20.353214,20.424286,20.215357,20.27393
2013-12-26,20.289286,20.339287,20.120714,20.139286
2013-12-27,20.136429,20.157499,19.982143,20.003214
2013-12-30,19.909286,20.003214,19.725714,19.804285
2013-12-31,19.791786,20.045713,19.785713,20.036428
2014-01-02,19.845715,19.893929,19.715,19.754642
2014-01-03,19.745001,19.775,19.301071,19.320715
2014-01-06,19.194643,19.52857,19.057142,19.426071
2014-01-07,19.440001,19.498571,19.21143,19.287144
2014-01-08,19.243214,19.484285,19.23893,19.409286
2014-01-09,19.52857,19.530714,19.119642,19.161428
2014-01-10,19.279642,19.314285,18.968214,19.033571
2014-01-13,18.925358,19.375,18.924286,19.133215
2014-01-14,19.222143,19.526072,19.202143,19.513929
2014-01-15,19.768572,20.007143,19.702143,19.905714
2014-01-16,19.817858,19.887501,19.702856,19.794643
2014-01-17,19.695715,19.716785,19.282143,19.309643
2014-01-21,19.321072,19.645357,19.300714,19.609644
2014-01-22,19.675358,19.903214,19.564644,19.696787
2014-01-23,19.640715,19.875,19.4575,19.863571
2014-01-24,19.785713,19.843571,19.455357,19.502501
2014-01-27,19.645357,19.814285,19.491072,19.660713
2014-01-28,18.17,18.392857,17.93107,18.089287
2014-01-29,17.998215,18.120358,17.807858,17.883928
2014-01-30,17.947857,18.089287,17.739286,17.849285
2014-01-31,17.684999,17.911785,17.626785,17.878571
2014-02-03,17.950357,18.133215,17.832144,17.911785
2014-02-04,18.066071,18.195,17.955713,18.17107
2014-02-05,18.091429,18.402857,18.080357,18.306786
2014-02-06,18.216429,18.339287,18.13607,18.303928
2014-02-07,18.620714,18.676071,18.477858,18.559999
2014-02-10,18.523571,18.999643,18.5,18.8925
2014-02-11,18.950357,19.205357,18.910713,19.14143
2014-02-12,19.176786,19.27,19.044287,19.139999
2014-02-13,19.094999,19.458929,19.078571,19.44393
2014-02-14,19.373928,19.499287,19.32893,19.428213
2014-02-18,19.5,19.685356,19.486071,19.499643
2014-02-19,19.455357,19.531786,19.083929,19.191786
2014-02-20,19.035357,19.178572,18.892857,18.969643
2014-02-21,19.028214,19.091785,18.735714,18.758928
